Smiles,cid
N#CN=C(Nc1ccccn1)NC1CCCCC1,CID218
CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)[C@H]1O[C@](O)([C@H](C)C(=O)O)[C@H](C)C[C@@H]1C)[C@H]1O[C@](C)([C@]2(O)O[C@@](CC)([C@H](C)O)C[C@H]2C)C[C@@H]1C,CID219
CC(O)CO,CID220
Cc1c(C)c(C)c(C(=O)Cn2ccnc2)c(C)c1C,CID221
CCCCN(CCCC)CCCC,CID222
CCOCCOCCO,CID223
CN(c1ccc(F)cc1Cl)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(F)(F)F,CID224
CCC(=O)OC1C(C)(C)C(N(C)C)C1(C)C,CID225
O=[N+]([O-])c1ccc(-c2n[nH]c(N=C(O)C(Cl)Cl)n2)o1,CID226
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CID227
CCOP(=S)(OCC)O/C(=C/Cl)c1ccc(Br)cc1Cl,CID228
COc1ccc(C2Cc3ccc(OC)c4occ(c34)CCN2C)c2c1C1C(C#N)=C(N)SC1S2(=O)=O,CID229
CC(C)CO,CID230
NN1Cc2ccccc2CC1=O,CID231
C/C=C(\C)C(O)=NC(=N)O,CID232
OC1c2ccccc2CCc2ncccc21,CID233
CC1CC(c2ccccn2)(C(C)C)C(=O)O1,CID234
CCCC/C=C(\C)C1(CC)C(O)=NC(=O)N=C1O,CID235
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CID236
CCCCCCCCCCCCN,CID237
COc1cc2c(cc1O)C[C@@H]1NCCc3cc(OC)c(OC)c-2c31,CID238
N=C(O)OCCCl,CID239
C/C=C/Cn1c(=O)c2c(ncn2C)n(C)c1=O,CID240
COc1cc2c(cc1O)C[C@@H]1NCCc3cc(O)c(OC)c-2c31,CID241
Clc1ccc2c(c1)C1OC(CN3CCOCC3)OC1c1ccccc1O2,CID242
O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCC1,CID243
COc1ccc(S(=O)(=O)Nc2nnc(C(C)(C)C)s2)cc1,CID244
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,CID245
O=C(O)CCCCCCCCCl,CID246
O=[N+]([O-])c1cc(-c2nnc(-c3ccc(Cl)c([N+](=O)[O-])c3)o2)ccc1Cl,CID247
C/C(=N\OC(=O)N(C)C(=O)CCl)SCCC#N,CID248
CO[C@H]1CC[C@H](O[C@@H]2C[C@@H]([C@@H](C)/C=C(\C)C(=O)[C@H](C)C[C@H](C)C(=O)O)O[C@@]3(CC[C@@](C)([C@H]4CC[C@@H](C)[C@@]5(O[C@@H]([C@H]6O[C@@](O)(CO)[C@H](C)C[C@@H]6C)C[C@@H]5C)O4)O3)C2C)O[C@@H]1C,CID249
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCC(OC(=O)CN2CCOCC2)S1,CID250
CCOP(=S)(OCC)SCC(=O)N(C(C)C)C(C)C,CID251
CC(C)/C=C/C(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(OC5OC(CO)C(O)C(O)C5O)C(=O)C4(C)C)C3(C)C(=O)CC12C,CID252
O=C1CN=C(c2ccccc2F)c2cc(F)ccc2N1C1CCNCC1,CID253
COc1cc2c(c(OC)c1O)-c1ccc(OC)c(=O)cc1[C@@H](N=C(C)O)CC2,CID254
Clc1ccc(/C=N/Nc2ccc(Br)cc2)c(Cl)c1,CID255
COc1ccc(CCl)cc1OC,CID256
CCOC(=O)C1(n2cncn2)c2ccccc2-c2ccccc21,CID257
CC(O)CCCCO,CID258
CCC(=O)O[C@@H]1CC(=O)O[C@H](C)C[C@@H]2O[C@H]2/C=C/[C@H](O)[C@H](C)C[C@H](CC=O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@H]1OC,CID259
COP(=S)(OC)Oc1ccc(SC)c(C)c1,CID260
CCOP(=S)(OCC)SC(SCC)c1ccccc1,CID261
Cn1c(N=C(O)CCl)nnc1-c1ccc([N+](=O)[O-])o1,CID262
CNS(=O)(=O)c1cc2c(c(C(O)=NC3CCN(C4CCCCC4)C3)c1)OCCO2,CID263
Nc1c(-c2ccncc2)cnn1-c1ccccc1,CID264
CCCCc1cnc([N+](=O)[O-])n1C,CID265
Cc1ncc(COP(=O)(O)O)c(CO)c1O,CID266
CO/N=C/C1=CCCN(C(=O)OCCc2ccccc2)C1,CID267
ClC(Cl)(Cl)c1cccc(C(Cl)(Cl)Cl)c1,CID268
CN(c1ccc(Cl)cc1Cl)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(F)(F)F,CID269
O=C(c1cc(-c2ccccc2)c(=O)n2c1-c1sccc1C2)N1CCOCC1,CID270
CCC(C)COCC(O)CNC(C)C,CID271
COc1ccc2sc(O)nc2c1,CID272
CC(=O)C(C)(C)C,CID273
CC(C)N=C(O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CID274
O=C1c2cc([N+](=O)[O-])ccc2OCN1c1ccccc1,CID275
CC(O)=Nc1nc(-c2ccc([N+](=O)[O-])o2)nn1C,CID276
CCC1(CC)C(O)=NC(=O)N=C1O,CID277
CC(=N)c1c(O)nc(O)c2c1CCCC2,CID278
O=c1oc2ccccc2c(O)c1-c1ccccc1,CID279
Oc1nc2c(Cl)c(Cl)c(Cl)cc2o1,CID280
COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2,CID281
CC1CN(CC2CN(/N=C/c3ccc([N+](=O)[O-])o3)C(=O)O2)CCO1,CID282
OC(CCCl)=NC1=Nc2ncccc2C(O)=NN1,CID283
C/C(=N/NC(=O)c1ccnc(C)c1)c1cccs1,CID284
CC(=O)OC(C)(C)/C=C/C(=O)C(C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,CID285
ClCCN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1,CID286
COc1ccc2c(c1OC)C(=O)OC2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,CID287
N#Cc1c(Cl)c(C#N)c(Nc2ccc(Cl)c(Cl)c2)c(C#N)c1Cl,CID288
COc1ccc(-c2nnc(N3CCN(C)CC3)nc2-c2ccc(OC)cc2)cc1,CID289
CCCC(C)(C)C(O)=NC(=N)O,CID290
O=C1c2ccccc2OCN1c1ccc([N+](=O)[O-])cc1,CID291
CC(C)NNC(=O)c1ccc(S(=O)(=O)C(C)C)cc1,CID292
O=C(c1ccccc1)c1ccc2c(c1)CCO2,CID293
CN1CCN(C(=O)OC2C3=C(OCCS3)C(=O)N2c2ccc(Cl)cn2)CC1,CID294
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,CID295
OC(c1ccccc1)(c1ccccc1)C1CCCCN1,CID296
CC(=O)Oc1c(I)cc(I)cc1C(=O)O,CID297
CCN(CC)/C(C)=N\N=C\c1c2c(O)c3c(O)c(C)c4c(c3c1O)C(=O)[C@@](C)(O/C=C\[C@H](OC)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C\C=C(\C)C(O)=N2)O4,CID298
CCC(=O)CCC(C)(C)C(CC)N(C)C,CID299
Cn1c(=O)oc2ccc(Cl)cc2c1=O,CID300
CCCCCCOC(=O)N(CC)SN(C)C(=O)O/N=C(\C)SC,CID301
COc1ccc(CCC(O)c2c(OCCN3CCCC3)c(OC)c3occc3c2OC)cc1,CID302
COc1ccc(/C=C(\C)C2=NC(C)(C)CO2)cc1,CID303
CN(C)n1c(=O)c2ccccc2n(C)c1=O,CID304
CCCCCCOCC(O)COC,CID305
CN1C(=O)CCSC1c1ccccc1,CID306
CCCCOCC(O)COCCCC,CID307
