SMILES,Cid
O=C3NC(=O)C(N2C(=O)c1ccccc1C2(=O))CC3,Cid347
O1c2ccccc2(OC1),Cid348
O=C(c1ccccc1)c2cccc(c2C)C,Cid349
O=C2C1(C)(CCC(C1)C2(C)C),Cid350
O=C(c1ccccc1C(F)(F)F)Cl,Cid351
c1ccc2cc(ccc2(c1))Cl,Cid352
O=C(OCC(COC(=O)C=C)(COC(=O)C=C)CC)C=C,Cid353
O=C1Oc2cc(OC)c(OC)cc2(C=C1),Cid354
O(c1ccccc1c2ccccc2)C,Cid355
NCCNCCN,Cid356
O=S(=O)(c1ccccc1Cl)Cl,Cid357
O=C(OC(=C)C)C,Cid358
O=[N+]([O-])c1ccccc1C,Cid359
Oc1ccc(cc1c2ccccc2)Cl,Cid360
O=Cc1ccc2OCOc2(c1),Cid361
Oc1ccc(O)c(c1)C(C)(C)C,Cid362
c1ccc(c(c1)CCl)CCl,Cid363
Oc1cc(ccc1CCCCC)C,Cid364
O=NCCCCCCC,Cid365
O=C(OCCC)NCCCN(C)C,Cid366
O=C(O)C=C,Cid367
N#CCCN(c1ccccc1)CC,Cid368
Oc1cc(O)cc(c1)Sc2cc(O)cc(O)c2,Cid369
NNCCN(C)C,Cid370
O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F,Cid371
OCCOc1cc(OC)cc(OC)c1,Cid372
O=CCCC=C,Cid373
c1ccc(cc1)c2ccc(cc2)CCCCCCCC,Cid374
O=C=Nc1ccc(cc1)Cc2ccc(N=C=O)cc2,Cid375
Oc1ccccc1(OC),Cid376
O=C(OC(=O)C=Cc1ccccc1(O))C=Cc2ccccc2(O),Cid377
O=C1C=C(C)CCC1C(C)C,Cid378
Oc1ccc(cc1)C(C)(C)C,Cid379
O=C(Nc1ccccc1(N))c2ccc(N)cc2,Cid380
NCCNCCNCCN,Cid381
N#CCCN(c1ccccc1)CCO,Cid382
O=CN(CCCC)CCCC,Cid383
O(c1ccc(cc1)C(c2ccccc2)=C(c3ccccc3)Cl)CCN(CC)CC,Cid384
O=C(C)CCc1ccc(cc1)c2ccccc2,Cid385
O1C(C)CN(CC1C)C2CCCCCCCCCCC2,Cid386
O=C(Nc1ccc(O)cc1)c2ccccc2(O),Cid387
O=C(OC)C2C1C=CC(C1)C2(C(=O)OC),Cid388
O=S(=O)(Nc1nccnc1(OC))c2ccc(N)cc2,Cid389
O(c1cccc(N)c1)C,Cid390
O1c2ccc(cc2(OC1))C(OCCOCCOCCCC)OCCOCCOCCCC,Cid391
O(c1ccccc1)P(Oc2ccccc2)OCC(CC)CCCC,Cid392
Nc1c(cccc1CC)C,Cid393
O=C(C(c1ccccc1)c2ccccc2)Cl,Cid394
O(c1ccc2NC(C=C(c2(c1))C)(C)C)CC,Cid395
O=C(O)Cc1ccc(cc1)NC(=O)C,Cid396
O=C(O)C(c1ccc(cc1)CC(C)C)C,Cid397
Oc1ccccc1CCCCCC,Cid398
O=C(Nc1ccccc1(OCCCC))C,Cid399
O=C1c3ccccc3(C(=O)c2cc(ccc12)CC),Cid400
O=S(=O)(O)OCCOc1ccc(cc1)C(C)(C)CC(C)(C)C,Cid401
Oc1c(cccc1C(C)C)C(C)C,Cid402
O=[N+]([O-])c1cccc(c1)C,Cid403
O=C1c4c(O)ccc(N)c4(C(=O)c2c(O)c(cc(N)c12)c3ccc(OC)cc3),Cid404
O=C(O)C(c1ccc(cc1)C=C(C)C)C,Cid405
O(CC)[Si](OCC)(C)CCCCN,Cid406
n1cscc1c2nc3ccccc3([nH]2),Cid407
O=C(ON=C(C)C)Nc1ccccc1,Cid408
Oc1cccc(c1c2ccccc2)Cl,Cid409
O=C1NC(=O)N(C=C1(F))C2OC(CO)C(O)C2,Cid410
OC(c1ccccc1)(C)C,Cid411
Oc1cc(c(c(c1)C)Cl)C,Cid412
O=S(=O)(c1ccccc1)c2ccccc2,Cid413
O=C(O)CONC(=O)c1ccccc1,Cid414
O=C(N)C=CC,Cid415
O=C(Nc1ccc(N)cc1)C,Cid416
O=C(Nc1ccccc1)c2c(nc(N)s2)C,Cid417
O=C(c2cccc1ccccc12)C,Cid418
O=C(O)c1ccc(cc1)Cl,Cid419
O=C(O)c1ccc(N)cc1(O),Cid420
Oc1cc(ccc1C)C,Cid421
O=C(c1cc(c(c(c1)[N+](=O)[O-])N(CCC)CCC)[N+](=O)[O-])C,Cid422
O=C(N)C(CC)C(C)CC,Cid423
Nc1cccc(c1C)C,Cid424
